Year,Sex,Race/Ethnicity,Age,California Region,Stage at Diagnosis,"Age-adjusted Rate per 100,000",Age-adjusted Rate Standard Error,Age-adjusted Rate Lower Confidence Interval,Age-adjusted Rate Upper Confidence Interval,Count
2010,Both Sexes,All Races,All Ages,Sutter County,All Stages,53.2039,7.4862,39.5528,70.0489,51
2010,Both Sexes,All Races,All Ages,Tulare County,All Stages,55.2074,3.9751,47.6909,63.5231,198
2010,Both Sexes,All Races,All Ages,Ventura County,All Stages,41.6752,2.3081,37.2737,46.4485,337
2010,Both Sexes,All Races,All Ages,Yolo County,All Stages,37.7733,4.7412,29.0565,48.2282,66
2010,Both Sexes,All Races,All Ages,Mariposa County/ Tuolumne County,All Stages,68.1136,7.7077,53.849,85.8138,81
2010,Both Sexes,All Races,All Ages,Alpine County/ Amador County/ Calaveras County,All Stages,52.9451,6.154,41.5745,67.3151,77
2010,Both Sexes,All Races,All Ages,Sierra County/ Yuba County,All Stages,56.1235,9.3068,39.385,77.3688,38
2010,Both Sexes,All Races,All Ages,Inyo County/ Mono County,All Stages,51.7994,11.4541,31.8355,80.5341,21
2010,Both Sexes,All Races,All Ages,Colusa County/ Glenn County/ Tehama County,All Stages,65.1739,7.1018,52.0015,80.7968,86
2010,Both Sexes,All Races,All Ages,Del Norte County/ Humboldt County,All Stages,55.7044,5.5973,45.2759,67.9019,104
2010,Both Sexes,All Races,All Ages,Lassen County/ Modoc County/ Plumas County,All Stages,48.0496,7.9741,33.7091,66.8571,38
2010,Both Sexes,All Races,All Ages,Siskiyou County/ Trinity County,All Stages,68.959,8.9586,52.5273,89.8212,64
2010,Both Sexes,All Races,Ages < 50,Alameda County,All Stages,1.5658,0.3808,0.9106,2.5147,17
2010,Both Sexes,All Races,Ages < 50,Butte County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Contra Costa County,All Stages,2.1081,0.5479,1.1747,3.4883,15
2010,Both Sexes,All Races,Ages < 50,El Dorado County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Fresno County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Imperial County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Kern County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Kings County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Lake County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Los Angeles County,All Stages,2.0198,0.1717,1.6973,2.3853,139
2010,Both Sexes,All Races,Ages < 50,Madera County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Marin County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Mendocino County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Merced County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Monterey County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Napa County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Nevada County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Orange County,All Stages,2.0144,0.3047,1.462,2.7087,44
2010,Both Sexes,All Races,Ages < 50,Placer County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Riverside County,All Stages,1.744,0.3432,1.1375,2.5532,26
2010,Both Sexes,All Races,Ages < 50,Sacramento County,All Stages,2.7494,0.5414,1.7925,4.025,26
2010,Both Sexes,All Races,Ages < 50,San Benito County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,San Bernardino County,All Stages,2.4609,0.4297,1.6919,3.4477,33
2010,Both Sexes,All Races,Ages < 50,San Diego County,All Stages,2.4639,0.3399,1.8431,3.2255,53
2010,Both Sexes,All Races,Ages < 50,San Francisco County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,San Joaquin County,All Stages,4.0354,0.9553,2.3854,6.3521,18
2010,Both Sexes,All Races,Ages < 50,San Luis Obispo County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,San Mateo County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Santa Barbara County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Santa Clara County,All Stages,1.9044,0.3816,1.2313,2.8169,25
2010,Both Sexes,All Races,Ages < 50,Santa Cruz County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Shasta County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Solano County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Sonoma County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Stanislaus County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Sutter County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Tulare County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Ventura County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Yolo County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Mariposa County/ Tuolumne County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Alpine County/ Amador County/ Calaveras County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Sierra County/ Yuba County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Inyo County/ Mono County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Colusa County/ Glenn County/ Tehama County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Del Norte County/ Humboldt County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Lassen County/ Modoc County/ Plumas County,All Stages,a,a,a,a,a
2010,Both Sexes,All Races,Ages < 50,Siskiyou County/ Trinity County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,All Ages,Alameda County,All Stages,43.8909,1.7617,40.5055,47.4801,651
2011,Both Sexes,All Races,All Ages,Butte County,All Stages,58.7965,4.7717,49.8162,69.0248,158
2011,Both Sexes,All Races,All Ages,Contra Costa County,All Stages,50.7374,2.1666,46.5793,55.1701,573
2011,Both Sexes,All Races,All Ages,El Dorado County,All Stages,43.0841,4.3562,34.9706,52.703,103
2011,Both Sexes,All Races,All Ages,Fresno County,All Stages,48.3316,2.4906,43.5728,53.4499,390
2011,Both Sexes,All Races,All Ages,Imperial County,All Stages,44.7069,5.4237,34.7128,56.5958,69
2011,Both Sexes,All Races,All Ages,Kern County,All Stages,57.2016,3.0192,51.4365,63.4024,374
2011,Both Sexes,All Races,All Ages,Kings County,All Stages,41.8729,6.3184,30.4151,55.9614,46
2011,Both Sexes,All Races,All Ages,Lake County,All Stages,65.3006,8.5538,49.6206,85.0417,60
2011,Both Sexes,All Races,All Ages,Los Angeles County,All Stages,38.8553,0.659,37.5744,40.168,3584
2011,Both Sexes,All Races,All Ages,Madera County,All Stages,41.5808,5.3552,31.7525,53.4719,62
2011,Both Sexes,All Races,All Ages,Marin County,All Stages,39.0722,3.4431,32.6157,46.5671,136
2011,Both Sexes,All Races,All Ages,Mendocino County,All Stages,50.6675,6.9066,38.0433,66.4456,58
2011,Both Sexes,All Races,All Ages,Merced County,All Stages,52.7603,5.0552,43.3187,63.567,112
2011,Both Sexes,All Races,All Ages,Monterey County,All Stages,46.6081,3.5704,39.8728,54.1215,177
2011,Both Sexes,All Races,All Ages,Napa County,All Stages,50.6305,5.4915,40.442,62.7656,88
2011,Both Sexes,All Races,All Ages,Nevada County,All Stages,41.8204,5.4081,31.8979,54.4273,64
2011,Both Sexes,All Races,All Ages,Orange County,All Stages,41.333,1.1946,39.0244,43.7412,1229
2011,Both Sexes,All Races,All Ages,Placer County,All Stages,43.3491,3.142,37.4093,50.0258,194
2011,Both Sexes,All Races,All Ages,Riverside County,All Stages,42.0883,1.3992,39.3901,44.9212,918
2011,Both Sexes,All Races,All Ages,Sacramento County,All Stages,55.8156,2.0447,51.8794,59.967,772
2011,Both Sexes,All Races,All Ages,San Benito County,All Stages,37.4189,9.4284,21.2808,60.3006,17
2011,Both Sexes,All Races,All Ages,San Bernardino County,All Stages,44.6282,1.7033,41.3518,48.0822,721
2011,Both Sexes,All Races,All Ages,San Diego County,All Stages,46.5538,1.2645,44.1082,49.0979,1401
2011,Both Sexes,All Races,All Ages,San Francisco County,All Stages,43.3003,2.1706,39.1499,47.8028,409
2011,Both Sexes,All Races,All Ages,San Joaquin County,All Stages,53.9305,2.982,48.2435,60.0862,338
2011,Both Sexes,All Races,All Ages,San Luis Obispo County,All Stages,51.7971,3.9423,44.3584,60.2288,179
2011,Both Sexes,All Races,All Ages,San Mateo County,All Stages,43.3959,2.3275,38.9535,48.2203,361
2011,Both Sexes,All Races,All Ages,Santa Barbara County,All Stages,37.7485,2.9397,32.2067,43.9818,170
2011,Both Sexes,All Races,All Ages,Santa Clara County,All Stages,38.8115,1.52,35.889,41.9052,670
2011,Both Sexes,All Races,All Ages,Santa Cruz County,All Stages,28.9401,3.4822,22.5203,36.6001,75
2011,Both Sexes,All Races,All Ages,Shasta County,All Stages,52.8022,4.7109,43.9734,63.0643,130
2011,Both Sexes,All Races,All Ages,Solano County,All Stages,57.135,3.7771,49.9713,65.0349,241
2011,Both Sexes,All Races,All Ages,Sonoma County,All Stages,48.6334,3.0195,42.8949,54.95,277
2011,Both Sexes,All Races,All Ages,Stanislaus County,All Stages,56.6722,3.5066,50.0072,63.9581,269
2011,Both Sexes,All Races,All Ages,Sutter County,All Stages,51.0455,7.1298,38.0371,67.1481,52
2011,Both Sexes,All Races,All Ages,Tulare County,All Stages,43.0191,3.5304,36.378,50.4649,153
2011,Both Sexes,All Races,All Ages,Ventura County,All Stages,40.1428,2.2379,35.8759,44.7746,333
2011,Both Sexes,All Races,All Ages,Yolo County,All Stages,41.0385,5.0056,31.8181,52.0191,70
2011,Both Sexes,All Races,All Ages,Mariposa County/ Tuolumne County,All Stages,45.4647,6.1378,34.2378,60.1596,56
2011,Both Sexes,All Races,All Ages,Alpine County/ Amador County/ Calaveras County,All Stages,50.5655,6.0702,39.3726,64.8287,73
2011,Both Sexes,All Races,All Ages,Sierra County/ Yuba County,All Stages,53.7714,8.7249,38.0485,73.7716,40
2011,Both Sexes,All Races,All Ages,Inyo County/ Mono County,All Stages,38.8757,9.9386,21.9017,64.7872,16
2011,Both Sexes,All Races,All Ages,Colusa County/ Glenn County/ Tehama County,All Stages,48.1073,5.9788,37.108,61.5263,66
2011,Both Sexes,All Races,All Ages,Del Norte County/ Humboldt County,All Stages,64.9446,6.1647,53.4254,78.2683,117
2011,Both Sexes,All Races,All Ages,Lassen County/ Modoc County/ Plumas County,All Stages,47.7141,8.0496,33.2599,66.7536,37
2011,Both Sexes,All Races,All Ages,Siskiyou County/ Trinity County,All Stages,51.671,7.689,37.712,70.1215,48
2011,Both Sexes,All Races,Ages < 50,Alameda County,All Stages,2.3502,0.4616,1.5341,3.452,26
2011,Both Sexes,All Races,Ages < 50,Butte County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Contra Costa County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,El Dorado County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Fresno County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Imperial County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Kern County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Kings County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Lake County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Los Angeles County,All Stages,2.1941,0.1797,1.8561,2.5753,150
2011,Both Sexes,All Races,Ages < 50,Madera County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Marin County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Mendocino County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Merced County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Monterey County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Napa County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Nevada County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Orange County,All Stages,1.9352,0.2995,1.3932,2.6196,42
2011,Both Sexes,All Races,Ages < 50,Placer County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Riverside County,All Stages,1.8697,0.361,1.2304,2.7145,27
2011,Both Sexes,All Races,Ages < 50,Sacramento County,All Stages,2.7136,0.534,1.7697,3.9735,26
2011,Both Sexes,All Races,Ages < 50,San Benito County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,San Bernardino County,All Stages,2.1186,0.3954,1.4157,3.0374,29
2011,Both Sexes,All Races,Ages < 50,San Diego County,All Stages,2.3571,0.3388,1.7404,3.1177,49
2011,Both Sexes,All Races,Ages < 50,San Francisco County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,San Joaquin County,All Stages,4.2342,0.9745,2.5445,6.5857,19
2011,Both Sexes,All Races,Ages < 50,San Luis Obispo County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,San Mateo County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Santa Barbara County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Santa Clara County,All Stages,2.6573,0.4498,1.8498,3.7005,35
2011,Both Sexes,All Races,Ages < 50,Santa Cruz County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Shasta County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Solano County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Sonoma County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Stanislaus County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Sutter County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Tulare County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Ventura County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Yolo County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Mariposa County/ Tuolumne County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Alpine County/ Amador County/ Calaveras County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Sierra County/ Yuba County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Inyo County/ Mono County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Colusa County/ Glenn County/ Tehama County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Del Norte County/ Humboldt County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Lassen County/ Modoc County/ Plumas County,All Stages,a,a,a,a,a
2011,Both Sexes,All Races,Ages < 50,Siskiyou County/ Trinity County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,All Ages,Alameda County,All Stages,42.4975,1.7122,39.2074,45.9871,646
2012,Both Sexes,All Races,All Ages,Butte County,All Stages,65.5827,4.972,56.1996,76.1932,183
2012,Both Sexes,All Races,All Ages,Contra Costa County,All Stages,47.9096,2.0747,43.9291,52.1586,557
2012,Both Sexes,All Races,All Ages,El Dorado County,All Stages,45.7963,4.5383,37.3348,55.7803,108
2012,Both Sexes,All Races,All Ages,Fresno County,All Stages,50.1357,2.529,45.301,55.3272,407
2012,Both Sexes,All Races,All Ages,Imperial County,All Stages,48.9152,5.6525,38.4676,61.239,76
2012,Both Sexes,All Races,All Ages,Kern County,All Stages,52.4382,2.8537,46.9935,58.3095,353
2012,Both Sexes,All Races,All Ages,Kings County,All Stages,46.495,6.4711,34.6851,60.8306,54
2012,Both Sexes,All Races,All Ages,Lake County,All Stages,59.5625,8.0695,44.8061,78.3642,58
2012,Both Sexes,All Races,All Ages,Los Angeles County,All Stages,37.0027,0.636,35.7665,38.27,3494
2012,Both Sexes,All Races,All Ages,Madera County,All Stages,45.6619,5.6225,35.3115,58.0736,68
2012,Both Sexes,All Races,All Ages,Marin County,All Stages,41.1777,3.5195,34.5688,48.8194,144
2012,Both Sexes,All Races,All Ages,Mendocino County,All Stages,43.4298,6.2506,32.0518,57.9002,52
2012,Both Sexes,All Races,All Ages,Merced County,All Stages,55.9844,5.2076,46.2439,67.0829,119
2012,Both Sexes,All Races,All Ages,Monterey County,All Stages,36.4299,3.1245,30.5636,43.0625,142
2012,Both Sexes,All Races,All Ages,Napa County,All Stages,46.6831,5.2977,36.8805,58.4401,81
2012,Both Sexes,All Races,All Ages,Nevada County,All Stages,44.9529,5.3796,35.0313,57.4725,74
2012,Both Sexes,All Races,All Ages,Orange County,All Stages,41.7213,1.1792,39.4419,44.0977,1288
2012,Both Sexes,All Races,All Ages,Placer County,All Stages,48.7901,3.2862,42.5614,55.7398,225
2012,Both Sexes,All Races,All Ages,Riverside County,All Stages,44.7326,1.426,41.981,47.6163,998
2012,Both Sexes,All Races,All Ages,Sacramento County,All Stages,56.2871,2.0234,52.3906,60.394,804
2012,Both Sexes,All Races,All Ages,San Benito County,All Stages,40.4615,9.6572,23.8013,63.6827,19
2012,Both Sexes,All Races,All Ages,San Bernardino County,All Stages,43.763,1.6526,40.5834,47.1145,739
2012,Both Sexes,All Races,All Ages,San Diego County,All Stages,44.4388,1.2258,42.0685,46.9061,1363
2012,Both Sexes,All Races,All Ages,San Francisco County,All Stages,48.7329,2.2958,44.3365,53.4779,465
2012,Both Sexes,All Races,All Ages,San Joaquin County,All Stages,51.5668,2.8863,46.0642,57.5305,332
2012,Both Sexes,All Races,All Ages,San Luis Obispo County,All Stages,44.8144,3.6678,37.914,52.7078,156
2012,Both Sexes,All Races,All Ages,San Mateo County,All Stages,43.7999,2.3357,39.3411,48.6379,365
2012,Both Sexes,All Races,All Ages,Santa Barbara County,All Stages,40.2674,3.0197,34.5662,46.6529,185
2012,Both Sexes,All Races,All Ages,Santa Clara County,All Stages,40.9612,1.5508,37.9778,44.1133,718
2012,Both Sexes,All Races,All Ages,Santa Cruz County,All Stages,46.6407,4.3706,38.4688,56.0224,124
2012,Both Sexes,All Races,All Ages,Shasta County,All Stages,59.9792,4.9636,50.6453,70.7243,150
2012,Both Sexes,All Races,All Ages,Solano County,All Stages,59.3347,3.7844,52.1486,67.2384,258
2012,Both Sexes,All Races,All Ages,Sonoma County,All Stages,44.8388,2.8436,39.4381,50.8043,265
2012,Both Sexes,All Races,All Ages,Stanislaus County,All Stages,48.4372,3.2081,42.353,55.1326,235
2012,Both Sexes,All Races,All Ages,Sutter County,All Stages,56.8273,7.5942,42.9261,73.848,57
2012,Both Sexes,All Races,All Ages,Tulare County,All Stages,39.4886,3.3288,33.234,46.5287,145
2012,Both Sexes,All Races,All Ages,Ventura County,All Stages,39.6319,2.2305,35.3802,44.249,326
2012,Both Sexes,All Races,All Ages,Yolo County,All Stages,33.1318,4.3725,25.1208,42.8405,60
2012,Both Sexes,All Races,All Ages,Mariposa County/ Tuolumne County,All Stages,48.1167,6.3437,36.4933,63.2426,60
2012,Both Sexes,All Races,All Ages,Alpine County/ Amador County/ Calaveras County,All Stages,56.9444,6.5663,44.8062,72.2002,83
2012,Both Sexes,All Races,All Ages,Sierra County/ Yuba County,All Stages,54.254,9.0267,38.0243,74.9049,38
2012,Both Sexes,All Races,All Ages,Inyo County/ Mono County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,All Ages,Colusa County/ Glenn County/ Tehama County,All Stages,55.8006,6.4781,43.8303,70.2034,76
2012,Both Sexes,All Races,All Ages,Del Norte County/ Humboldt County,All Stages,49.9608,5.3847,39.9669,61.766,91
2012,Both Sexes,All Races,All Ages,Lassen County/ Modoc County/ Plumas County,All Stages,42.6227,7.2545,29.6072,60.0826,36
2012,Both Sexes,All Races,All Ages,Siskiyou County/ Trinity County,All Stages,57.6243,8.0585,42.9228,76.7966,56
2012,Both Sexes,All Races,Ages < 50,Alameda County,All Stages,3.703,0.5792,2.6559,5.0311,41
2012,Both Sexes,All Races,Ages < 50,Butte County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,Ages < 50,Contra Costa County,All Stages,3.1568,0.6614,1.9962,4.751,23
2012,Both Sexes,All Races,Ages < 50,El Dorado County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,Ages < 50,Fresno County,All Stages,3.2974,0.7783,1.9526,5.1602,18
2012,Both Sexes,All Races,Ages < 50,Imperial County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,Ages < 50,Kern County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,Ages < 50,Kings County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,Ages < 50,Lake County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,Ages < 50,Los Angeles County,All Stages,1.8555,0.165,1.5462,2.2083,127
2012,Both Sexes,All Races,Ages < 50,Madera County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,Ages < 50,Marin County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,Ages < 50,Mendocino County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,Ages < 50,Merced County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,Ages < 50,Monterey County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,Ages < 50,Napa County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,Ages < 50,Nevada County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,Ages < 50,Orange County,All Stages,2.1953,0.3217,1.6106,2.9234,47
2012,Both Sexes,All Races,Ages < 50,Placer County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,Ages < 50,Riverside County,All Stages,2.0381,0.3733,1.3731,2.9056,30
2012,Both Sexes,All Races,Ages < 50,Sacramento County,All Stages,2.998,0.5679,1.99,4.3261,28
2012,Both Sexes,All Races,Ages < 50,San Benito County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,Ages < 50,San Bernardino County,All Stages,1.8007,0.3686,1.1521,2.6694,24
2012,Both Sexes,All Races,Ages < 50,San Diego County,All Stages,1.3966,0.2603,0.9337,2.0045,29
2012,Both Sexes,All Races,Ages < 50,San Francisco County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,Ages < 50,San Joaquin County,All Stages,3.3041,0.8551,1.8464,5.4239,15
2012,Both Sexes,All Races,Ages < 50,San Luis Obispo County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,Ages < 50,San Mateo County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,Ages < 50,Santa Barbara County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,Ages < 50,Santa Clara County,All Stages,1.7524,0.3661,1.1099,2.6337,23
2012,Both Sexes,All Races,Ages < 50,Santa Cruz County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,Ages < 50,Shasta County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,Ages < 50,Solano County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,Ages < 50,Sonoma County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,Ages < 50,Stanislaus County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,Ages < 50,Sutter County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,Ages < 50,Tulare County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,Ages < 50,Ventura County,All Stages,a,a,a,a,a
2012,Both Sexes,All Races,Ages < 50,Yolo County,All Stages,a,a,a,a,a
