Incidence Rate Report by State

"Lung & Bronchus (All Stages^), 2014-2018"

"All Races (includes Hispanic), Both Sexes, Ages <50"

Sorted by Rate

State, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Washington(5)",53000,***,2.5 ,2.3, 2.7,38 , 32 , 44,112,falling,-4.0 ,-4.8, -3.2
"Oregon(6)",41000,***,2.5 ,2.2, 2.7,39 , 30 , 46,61,falling,-4.5 ,-5.5, -3.4
"South Dakota(6)",46000,***,2.4 ,1.8, 3.2,40 , 23 , 50,11,*,*,*,*
"Wyoming(6)",56000,***,2.3 ,1.6, 3.2,41 , 22 , 51,7,*,*,*,*
"Texas(6)",48000,***,2.3 ,2.2, 2.4,42 , 37 , 45,400,falling,-6.1 ,-6.6, -5.7
"Hawaii(7)",15000,***,2.2 ,1.8, 2.7,43 , 29 , 50,18,falling,-2.7 ,-3.6, -1.7
"Nevada(6)",32000,***,2.1 ,1.8, 2.5,45 , 36 , 50,31,*,*,*,*
"Idaho(7)",16000,***,2.1 ,1.7, 2.5,44 , 33 , 50,21,falling,-3.9 ,-5.2, -2.5
"Arizona(6)",04000,***,2 ,1.9, 2.3,46 , 40 , 50,83,falling,-5.1 ,-6.0, -4.2
"Colorado(6)",08000,***,2 ,1.8, 2.2,47 , 40 , 50,69,stable,2.1 ,-3.1, 7.5
"Montana(6)",30000,***,1.9 ,1.4, 2.5,49 , 34 , 51,11,*,*,*,*
"California(7)",06000,***,1.9 ,1.8, 2,48 , 43 , 50,476,falling,-4.1 ,-4.5, -3.7
"New Mexico(7)",35000,***,1.8 ,1.4, 2.1,50 , 41 , 51,21,falling,-1.3 ,-2.5, -0.1
"Puerto Rico(6)",72001,***,1.4 ,1.2, 1.6,N/A , N/A , N/A,28,stable,-0.8 ,-17.0, 18.6
"Utah(7)",49000,***,1.4 ,1.1, 1.6,51 , 49 , 51,24,*,*,*,*

Created by statecancerprofiles.cancer.gov on 05/04/2022 10:45 pm.

State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"[rate note] Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2018 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
"[trend note] Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information."

Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) summary stage [ https://seer.cancer.gov/tools/ssm/ ]."
"[rank note]Results presented with the CI*Rank statistics help show the usefulness of ranks. For example, ranks for relatively rare diseases or less populated areas may be essentially meaningless because of their large variability, but ranks for more common diseases in densely populated regions can be very useful. More information about methodology can be found on the CI*Rank website."
*** No Healthy People 2020 Objective for this cancer.
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3)."

"1 Source: National Program of Cancer Registries [ https://www.cdc.gov/cancer/npcr/index.htm ] and Surveillance, Epidemiology, and End Results [ http://seer.cancer.gov ] SEER*Stat Database (2001-2018) - United States Department of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute. Based on the 2020 submission."
"5 Source: National Program of Cancer Registries [ https://www.cdc.gov/cancer/npcr/index.htm ] and Surveillance, Epidemiology, and End Results [ http://seer.cancer.gov ] SEER*Stat Database (2001-2018) - United States Department of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute. Based on the 2020 submission."
"6 Source: National Program of Cancer Registries SEER*Stat Database (2001-2018) - United States Department of Health and Human Services, Centers for Disease Control and Prevention (based on the 2020 submission).  [ https://www.cdc.gov/cancer/npcr/index.htm ]"
7 Source: SEER November 2020 submission.
"8 Source: Incidence data provided by the SEER Program. ( http://seer.cancer.gov ) AAPCs are calculated by the Joinpoint Regression Program ( https://surveillance.cancer.gov/joinpoint/ ) and are based on APCs. Data are age-adjusted to the 2000 US standard population ( http://www.seer.cancer.gov/stdpopulations/single_age.html ) (19 age groups: <1, 1-4, 5-9, ... , 80-84,85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modifed by NCI. The 1969-2018 US Population Data ( http://seer.cancer.gov/popdata/ ) File is used with SEER November 2020 data. "


"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate."

Data for United States does not include Puerto Rico.
